file,segment,rms_acc,peak_acc,rms_vel,peak_vel,inc_deg,inc_loc,damp,damp_loc
G4_P5_case42.mat,15,0.129186361151914,0.723618270436321,0.0557649996663926,0.0949999843505263,4,5,0,0
G4_P5_case42.mat,16,0.0477051954626103,0.0820309219262459,0.0531355012872861,0.0908621144522008,4,5,0,0
G4_P5_case42.mat,17,0.0483855485343166,0.101322733386779,0.0528067521837048,0.0918387385445234,4,5,0,0
G4_P5_case42.mat,18,0.0648246905155414,0.309062373821832,0.0524083379550844,0.0854969663568435,4,5,0,0
G4_P5_case42.mat,19,0.14062674447481,0.363269495185068,0.0640511820322074,0.0990414725605969,4,5,0,0
G4_P5_case43.mat,1,0.230133354023652,0.49828364075103,0.265647664577724,0.423517849387886,0,0,1,4
G4_P5_case43.mat,2,0.218789081016509,0.378919545810089,0.247363325839941,0.422935740789597,0,0,1,4
G4_P5_case43.mat,3,0.216395579571793,0.359617785071234,0.245939247632776,0.427025600308725,0,0,1,4
G4_P5_case43.mat,4,0.214262090469335,0.245760373574014,0.246366581198573,0.427360048847314,0,0,1,4
G4_P5_case43.mat,5,0.214220731920097,0.239816779608095,0.246390964802426,0.42760936769611,0,0,1,4
G4_P5_case43.mat,6,0.21438416877145,0.247149858216225,0.247429472883626,0.427891486508625,0,0,1,4
G4_P5_case43.mat,7,0.215321103968839,0.249166327353534,0.247806902364478,0.429752020338692,0,0,1,4
G4_P5_case43.mat,8,0.20928063746427,0.436968209013243,0.243613382470178,0.409345122279854,0,0,1,4
G4_P5_case43.mat,9,0.242186263572883,0.618901519076533,0.257681426142253,0.455100553637869,0,0,1,4
G4_P5_case43.mat,10,0.214092821851561,0.243210559291477,0.247156292987172,0.427652303256017,0,0,1,4
G4_P5_case43.mat,11,0.21300546252786,0.233521977910476,0.244996434479432,0.424911303071312,0,0,1,4
G4_P5_case43.mat,12,0.2146995014683,0.235245794460911,0.247395405504659,0.428633126944788,0,0,1,4
G4_P5_case43.mat,13,0.21664109364281,0.292256918733603,0.247936570844626,0.430061623584205,0,0,1,4
G4_P5_case43.mat,14,0.220793297479463,0.309605946402891,0.251298830785466,0.437315822857109,0,0,1,4
G4_P5_case43.mat,15,0.260521999333514,1,0.237888107450932,0.419618986484212,0,0,1,4
G4_P5_case43.mat,16,0.217241666363178,0.249571513962064,0.250277606097758,0.433420727142399,0,0,1,4
G4_P5_case43.mat,17,0.218494920196014,0.260724890039731,0.251696530566816,0.435687654287338,0,0,1,4
G4_P5_case43.mat,18,0.22002937797206,0.346447836917548,0.252214552264608,0.437098103463504,0,0,1,4
G4_P5_case43.mat,19,0.235998341949012,0.487540965203114,0.255609168475442,0.438921253016821,0,0,1,4
G4_P5_case43.mat,20,0.250701549519248,0.42696007760033,0.283976864563212,0.478278336196596,0,0,1,4
G5_P5_case52.mat,1,0.39509774468866,0.552006397010483,0.460502020411973,0.784529361922348,5,4,0,0
G5_P5_case52.mat,2,0.392268874229456,0.463990768913754,0.451742405852913,0.781881767623029,5,4,0,0
G5_P5_case52.mat,3,0.392361777387316,0.446143562425201,0.452066638606722,0.783231633040315,5,4,0,0
G5_P5_case52.mat,4,0.392163744849166,0.406292771952978,0.452790539869116,0.783472712485832,5,4,0,0
G5_P5_case52.mat,5,0.391858875958834,0.400773945824183,0.45207503183205,0.782875990210249,5,4,0,0
G5_P5_case52.mat,6,0.392992385383568,0.406046682304744,0.453544288150432,0.785126424639911,5,4,0,0
G5_P5_case52.mat,7,0.392821786625795,0.400105950220108,0.453211624403009,0.784792939164194,5,4,0,0
G5_P5_case52.mat,8,0.390658498735494,0.413485103569136,0.452129569936842,0.780290434069608,5,4,0,0
G5_P5_case52.mat,9,0.395986016821278,0.695159948101056,0.450436778291232,0.786184024068046,5,4,0,0
G5_P5_case52.mat,10,0.392600712544057,0.454515428413774,0.452665524162855,0.784201587811659,5,4,0,0
G5_P5_case52.mat,11,0.393233351373448,0.405218132190656,0.453632258554021,0.785637222018129,5,4,0,0
G5_P5_case52.mat,12,0.393243989018955,0.402229138211544,0.453661505272592,0.785639505721088,5,4,0,0
G5_P5_case52.mat,13,0.393120454784289,0.421898899385786,0.453664524936961,0.785090447299847,5,4,0,0
G5_P5_case52.mat,14,0.394039177286173,0.45026604383948,0.453503704010529,0.785802529404867,5,4,0,0
G5_P5_case52.mat,15,0.416683097484082,1,0.360892388621476,0.621398751262701,5,4,0,0
